uniqueidkey,name,namezusatz,description,lat,long,Str,Num,PLZ,Ort,Adresszusatz,Kreis,VG,Tel,Tel2,Mobil,Fax,Mail,Web,Kategorie,keywords
,Komm. Kita Regenbogen Fehl-Ritzhausen,,,50.64558,7.99531,Am Kindergarten,2,56472,Fehl-Ritzhausen,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Neunkhausen,,,50.70304,7.90723,Kirchstraße,9,57520,Neunkhausen,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Kunterbunt Nistertal,,,50.62728,7.89950,Am Sportplatz,7,57647,Nistertal,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Villa Sonnenschein Unnau,,,50.65172,7.91175,Schwimmbadstraße,34,57648,Unnau,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Integr. Kita der Lebenshilfe e.V. Höhn,,,50.61568,7.98427,Zehntgrafstraße,16,56462,Höhn,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita integrativ,
,"Ev. Kita ""Miteinander"" Hachenburg",,,50.65996,7.82019,Steinweg,15,57627,Hachenburg,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Freie Montessori Schule Westerburg,,,50.56874,7.95909,Theo-Neeb-Straße,5,56457,Westerburg,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kinderhort Abenteuerland Selters,,,50.53140,7.74995,Trotzendorfstraße,8,56242,Selters,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Hort,
,Komm. Kita Gänseblümchen Maxsain,,,50.54104,7.78099,Am Hahnweg,11-13,56244,Maxsain,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Sonnenschein Selters,,,50.53286,7.75097,Bruchweg,3,56242,Selters,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Wühlmäuse Schenkelberg,,,50.58094,7.78341,Schulstraße,9,56244,Schenkelberg,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Clownsgesicht Bad Marienberg-Langenbach,,,50.63794,7.93992,Stauffenbergring,1a,56470,Bad Marienberg,Langenbach,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Langenbach,,,50.70193,7.94287,Steimelsweg,16,57520,Langenbach,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Piccolino Hof,,,50.66821,8.01505,Tierparkstraße,15,56472,Hof,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,"Komm. Kita ""Unterm Regenbogen"" Herschbach",,,50.50740,7.92438,Südstraße,1,56414,Herschbach,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Nisterau,,,50.65751,7.98865,Bergweg,1,56472,Nisterau,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Bad Marienberg Zinhain,,,50.64484,7.93075,Bismarckstraße,88,56470,Bad Marienberg,Zinhain,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Kunterbunt Sessenhausen,,,50.52435,7.71263,Freiherr-vom-Stein-Straße,23,56244,Sessenhausen,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,"Komm. Kita ""Kinderpyramide"" Roßbach",,,50.60311,7.68331,Schulstraße,9,56271,Roßbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Sausebraus Müschenbach Müschenbach,,,50.68150,7.77932,Schulstraße,26a,57629,Müschenbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Hachenburger Kinderhaus Hachenburg,,,50.65799,7.82076,Lohmühle,1,57627,Hachenburg,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Flohzirkus Wölferlingen,,,50.56453,7.85206,Schulstraße,7,56244,Wölferlingen,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Pestalozzistraße Bad Marienberg,,,50.65724,7.95662,Pestalozzistraße,,56470,Bad Marienberg,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Nauberg-Räuber (UNESCO) Norken,,,50.67088,7.89565,Auf der Bitze,10,57629,Norken,,Westerwaldkreis,VG Bad Marienberg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Gangolf Meudt,,,50.49374,7.89591,Gangolfusstraße,5,56414,Meudt,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Mogendorf,,,50.49213,7.75761,Hinterer Kettengarten,1a,56424,Mogendorf,,Westerwaldkreis,VG Wirges,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Lieblingsplatz Hachenburg,,,50.65910,7.82955,Am Schwimmbad,2,57627,Hachenburg,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,FFD Kita am Wald Hübingen,,,50.35765,7.83671,Am Buchenberg,1,56412,Hübingen,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Purzelbaum Wahlrod,,,50.64742,7.71955,Am Beilstein,,57614,Wahlrod,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Mariä Himmelfahrt Eitelborn,,,50.37434,7.72365,Gartenstraße,29,56337,Eitelborn,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Don Bosco Montabaur,,,50.43566,7.82163,Wiedstraße,25,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Pusteblume Seck,,,50.57712,8.04446,Lindenweg,1,56479,Seck,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita In der Falterswiese Rennerod,,,50.61194,8.06515,Falterswiese,11,56477,Rennerod,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Josef Kadenbach,,,50.38563,7.72818,Hinter der Schule,8,56337,Kadenbach,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Haiderbach Wittgert,,,50.50156,7.70124,Schulstraße,36a,56237,Wittgert,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,"Komm. Kita ""Haus der kleinen Füße"" Ransbach-Baumbach",,,50.45675,7.71892,d'Esterstraße,9c,56235,Ransbach-Baumbach,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,"Komm. Kinderhort ""Hand in Hand"" Wirges",,,50.47094,7.80173,Theodor-Heuss-Ring,,56422,Wirges,,Westerwaldkreis,VG Wirges,,,,,,,Kinderbetreuung: Hort,
,Komm. Kita SaBinchen Salz,,,50.50886,7.96125,Adelphusweg,2,56414,Salz,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Regenbogen Marienrachdorf,,,50.54867,7.71678,Auf dem Bruch,4,56242,Marienrachdorf,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Zaubergarten Westerburg,,,50.55991,7.97839,Im Alten Garten,13,56457,Westerburg,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Stöffelkids Stockum-Püschen,,,50.60453,7.90027,Schulweg,6,56459,Stockum-Püschen,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Willmenrod,,,50.53848,7.98137,Im Bangert,5,56459,Willmenrod,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Sonnenschein Höhr-Grenzhausen,,,50.43775,7.66767,Parkstraße,30,56203,Höhr-Grenzhausen,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Regenbogen Hillscheid,,,50.40497,7.70136,Waldstraße,1a,56204,Hillscheid,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,"Ev. Kita ""Kinder Garten Eden"" Gemünden",,,50.55636,8.01522,Am Kindergarten,4a,56459,Gemünden,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita St. Martin Ransbach-Baumbach,,,50.46450,7.73074,St. Martin-Straße,1,56235,Ransbach-Baumbach,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Matthäus Westernohe,,,50.58901,8.09859,In der Stark,1,56479,Westernohe,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Elisabeth Höhn Oellingen,,,50.61644,7.98559,Püttschesgarten,17,56462,Höhn,Oellingen,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Hubertus Rennerod,,,50.60552,8.06917,Hubertusstraße,2,56477,Rennerod,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Peter und Paul Elsoff,,,50.57452,8.11270,Mittelhofer Straße,2,56479,Elsoff,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Petrus in Ketten Hellenhahn-Schellenberg,,,50.61189,8.02348,Kirchstraße,8,56479,Hellenhahn-Schellenberg,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Sonnenschein Neustadt (WW),,,50.63039,8.03941,Hauptstraße,9,56479,Neustadt/Westerwald,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Hoher Westerwald Nister-Möhrendorf,,,50.65625,8.07280,Schulstraße,6,56477,Nister-Möhrendorf,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Ebernhahn,,,50.47376,7.77008,Schulstraße,2,56424,Ebernhahn,,Westerwaldkreis,VG Wirges,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Agnes Dernbach,,,50.45492,7.78926,Katharina-Kasper-Straße,1,56428,Dernbach,,Westerwaldkreis,VG Wirges,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Christkönig Westerburg,,,50.56567,7.96971,Am Neumarkt,3,56457,Westerburg,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Martin Montabaur,,,50.43651,7.81270,Martin Luther Straße,3,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Peter Montabaur,,,50.43246,7.83612,Auf dem Kalk,7,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Entdeckungskiste Stahlhofen,,,50.39563,7.85741,Kirchstraße,10a,56412,Stahlhofen,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Antonius Niederelbert,,,50.41068,7.81161,Hollerer Straße,7,56412,Niederelbert,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Johannes d. Täufer Welschneudorf,,,50.37062,7.79755,Lindenweg,1,56412,Welschneudorf,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,"Kath. Kita ""Marienheim"" Wallmerod",,,50.48435,7.94604,Konrad-Adenauer-Straße,34,56414,Wallmerod,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,"Kath. Kita ""Sonnenau"" Steinefrenz",,,50.46009,7.93348,Friedhofsweg,3,56414,Steinefrenz,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Barbara Ruppach-Goldhausen,,,50.46381,7.87965,Schulstraße,25a,56412,Ruppach-Goldhausen,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,"Kath. Kita St. Elisabeth ""Provisorium"" Hundsangen",,,50.45466,7.99124,Günterstraße,18,56414,Hundsangen,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Josef Niederahr,,,50.49287,7.86252,Gartenstraße,8,56414,Niederahr,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Sankt Marien Hachenburg,,,50.66306,7.83283,Am Burggarten,2,57627,Hachenburg,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Kinderhort Zweite Heimat Höhr-Grenzhausen,,,50.44139,7.65738,Hermann Geisen-Straße,44,56203,Höhr-Grenzhausen,Grenzhausen,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Hort,
,Ev. Kita Pfarrer Ninck Westerburg,,,50.56113,7.97545,Danziger Straße,7,56457,Westerburg,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Ratz-Fatz Bellingen,,,50.58929,7.90590,Schulstraße,7,56459,Bellingen,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Kom. Kita Hattert,,,50.66176,7.76390,Hütter Straße,7,57644,Hattert,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Marien Sessenbach,,,50.47586,7.63977,Im Wiesengrund,24,56237,Sessenbach,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Josef Nauort,,,50.46549,7.62618,Klosterstraße,2a,56237,Nauort,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita Don Bosco Luckenbach,,,50.70086,7.83379,Hauptstraße,10,57629,Luckenbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Elbbachkindergarten Ailertchen,,,50.59699,7.94082,Am Schwimmbad,10a,56459,Ailertchen,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Pusteblume Höhr-Grenzhausen,,,50.43855,7.65924,Friedrich-Ebert-Straße,2,56203,Höhr-Grenzhausen,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita am Kastanienbaum Guckheim,,,50.52903,7.94540,Hofacker,1,56459,Guckheim,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Kinderlachen Langenhahn,,,50.58278,7.92163,Kapellenweg,7,56459,Langenhahn,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Zwergenburg Berod,,,50.48181,7.93500,Schulstraße,9,56414,Berod,,Westerwaldkreis,VG Wallmerod,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Spatzennest Mörsbach,,,50.72564,7.76446,Schulstraße,8,57629,Mörsbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Markus Ransbach-Baumbach,,,50.47012,7.73032,Auf dem Haidchen,2,56235,Ransbach-Baumbach,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Zauberstein Alpenrod,,,50.63423,7.86513,Steinweg,14,57642,Alpenrod,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Anna Herschbach,,,50.57289,7.73790,Burggraben,22,56249,Herschbach,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Josef Hillscheid,,,50.40536,7.70084,Waldstraße,1,56204,Hillscheid,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Antonius Ransbach-Baumbach,,,50.45678,7.72301,Robert-Fischbach-Straße,19a,56235,Ransbach-Baumbach,,Westerwaldkreis,VG Ransbach-Baumbach,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Bartholomäus Pottum,,,50.59477,8.00306,Schulstraße,20a,56459,Pottum,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Feldmäuse Kölbingen,,,50.55088,7.92241,Feldstraße,13,56459,Kölbingen,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Philippus Rothenbach,,,50.56496,7.90050,Finkenstraße,5,56459,Rothenbach,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Dreilindenstein Steinebach a.d. Wied,,,50.60908,7.80534,Schulstraße,9,57629,Steinebach a.d. Wied,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Höchstenbach,,,50.63300,7.74933,Mühlentalweg,9a,57629,Höchstenbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Girkenroth,,,50.52009,7.96952,Schulstraße,12,56459,Girkenroth,,Westerwaldkreis,VG Westerburg,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Peter Höhr-Grenzhausen,,,50.43552,7.66959,Bahnhofstraße,5,56203,Höhr-Grenzhausen,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,"Komm. Kita ""Basaltzwerge"" Nister",,,50.67519,7.83672,Neuer Weg,2,57645,Nister,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Kinderarche Höhr-Grenzhausen,,,50.43951,7.66288,Martin-Luther-Straße,22,56203,Höhr-Grenzhausen,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Himmelfeld Montabaur,,,50.43955,7.84177,Sonnenring,16,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Abenteuerland Simmern,,,50.38895,7.67497,Schulstraße,2,56337,Simmern,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Buchfinkennest Horbach,,,50.37063,7.85724,Schulstraße,19,56412,Horbach,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Löwenzahn Elgendorf,,,50.44199,7.79208,Mozartstraße,1a,56410,Montabaur,Elgendorf,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Peterstor Montabaur,,,50.43265,7.83287,Peterstorstraße,10,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Sonnenschein Montabaur,,,50.42706,7.82195,Bonhoeffer Straße,2,56410,Montabaur,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Komm. Kita Wichtelhaus Neuhäusel,,,50.38540,7.70539,Eisenköppel,2a,56335,Neuhäusel,,Westerwaldkreis,VG Montabaur,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Glückskind Freirachdorf,,,50.58491,7.71452,Kirchstraße,2,56244,Freirachdorf,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Regenbogen Rennerod,,,50.63217,8.06976,Nisterweg,16,56477,Rennerod,Emmerichenhain,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Selters Hilgert,,,50.45740,7.69070,Bergstraße,22,56206,Hilgert,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Plumpaquatsch Selters,,,50.52819,7.75469,Amtsstraße,10,56242,Selters,,Westerwaldkreis,VG Selters,,,,,,,Kinderbetreuung: Kita,
,Kath. Kita St. Paul Höhr-Grenzhausen,,,50.42890,7.67873,Jacques-Remy-Straße,18a,56203,Höhr-Grenzhausen,,Westerwaldkreis,VG Höhr-Grenzhausen,,,,,,,Kinderbetreuung: Kita,
,Ev. Kita Rehe,,,50.63467,8.11607,Bonhoeffer Straße,14,56479,Rehe,,Westerwaldkreis,VG Rennerod,,,,,,,Kinderbetreuung: Kita,
,Kinderhort Mosaik Hachenburg,,,50.65621,7.82138,Kantstraße,21,57627,Hachenburg,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Hort,
,Komm. Kita Pusteblume Mündersbach,,,50.60621,7.73158,Schulstraße,3,56271,Mündersbach,,Westerwaldkreis,VG Hachenburg,,,,,,,Kinderbetreuung: Kita,
